,ProdDate,Actual_kWh,Production1,Production2,Feed,Weekday,BRP,ExpectedkWh,Residuals,CUSUM,TargetkWh,ResidualsT,CUSUMT
273,2019-10-01,145518.0,8782.824395,9619.415082,8782.824395,Tuesday,RP,146589.3,-1071.296875,-1071.296875,142191.62,-4397.672,-4397.672
274,2019-10-02,182100.0,14680.26818,16395.29867,14680.26818,Wednesday,RP,191141.55,-9041.546875,-10112.84375,185407.31,-5734.2344,-10131.906
275,2019-10-03,131731.0,7738.7123065,8643.075946,7738.7123065,Thursday,RP,149397.77,-17666.765625,-27779.609375,144915.84,-4481.922,-14613.828
276,2019-10-04,139224.0,8137.6292405,8964.772942,8137.6292405,Friday,RP,147912.23,-8688.234375,-36467.84375,143474.88,-4437.3594,-19051.188
277,2019-10-05,172187.0,10898.523245,13555.14162,10898.523245,Saturday,RP,162585.2,9601.796875,-26866.046875,157707.66,-4877.547,-23928.734
278,2019-10-06,56242.0,547.5070736499999,,547.5070736499999,Sunday,RP,89916.86,-33674.859375,-60540.90625,87219.36,-2697.5,-26626.234
279,2019-10-07,183849.0,13136.388595,13783.479,13136.388595,Monday,RP,179757.06,4091.9375,-56448.96875,174364.36,-5392.703,-32018.938
280,2019-10-08,151153.0,10374.668455,11283.01598,10374.668455,Tuesday,RP,162585.2,-11432.203125,-67881.171875,157707.66,-4877.547,-36896.484
281,2019-10-09,166882.0,12925.838855,14173.78969,12925.838855,Wednesday,RP,180738.36,-13856.359375,-81737.53125,175316.22,-5422.1406,-42318.625
282,2019-10-10,150805.0,9337.8640465,10522.64126,9337.8640465,Thursday,RP,155768.06,-4963.0625,-86700.59375,151095.03,-4673.0312,-46991.656
283,2019-10-11,202433.0,17886.656635,20154.42931,17886.656635,Friday,RP,202382.8,50.203125,-86650.390625,196311.31,-6071.4844,-53063.14
284,2019-10-12,165764.0,8475.2326685,10853.33678,8475.2326685,Saturday,RP,145820.47,19943.53125,-66706.859375,141445.86,-4374.6094,-57437.75
288,2019-10-16,189721.0,15162.553305,16199.58092,15162.553305,Wednesday,RP,191750.83,-2029.828125,-68736.6875,185998.31,-5752.5156,-63190.266
289,2019-10-17,144751.0,10041.209295,10986.06491,10041.209295,Thursday,RP,163554.8,-18803.796875,-87540.484375,158648.16,-4906.6406,-68096.91
290,2019-10-18,196931.0,15933.051265,17667.46407,15933.051265,Friday,RP,192817.05,4113.953125,-83426.53125,187032.55,-5784.5,-73881.41
291,2019-10-19,205470.0,14174.55491,17407.63188,14174.55491,Saturday,RP,190922.22,14547.78125,-68878.75,185194.56,-5727.6562,-79609.06
293,2019-10-21,190724.0,13718.05973,16265.94498,13718.05973,Monday,RP,188213.97,2510.03125,-66368.71875,182567.56,-5646.4062,-85255.47
294,2019-10-22,170269.0,12555.754505,12443.82472,12555.754505,Tuesday,RP,179559.61,-9290.609375,-75659.328125,174172.83,-5386.7812,-90642.25
295,2019-10-23,193909.0,16281.878625,18128.63808,16281.878625,Wednesday,RP,197787.83,-3878.828125,-79538.15625,191854.2,-5933.625,-96575.875
296,2019-10-24,142098.0,9084.6602265,10023.22355,9084.6602265,Thursday,RP,150089.44,-7991.4375,-87529.59375,145586.77,-4502.672,-101078.55
297,2019-10-25,158102.0,10168.89789,12203.11439,10168.89789,Friday,RP,163554.8,-5452.796875,-92982.390625,158648.16,-4906.6406,-105985.19
298,2019-10-26,164975.0,9137.4586225,11052.42897,9137.4586225,Saturday,RP,150089.44,14885.5625,-78096.828125,145586.77,-4502.672,-110487.86
303,2019-10-31,122000.0,6834.584605,7401.882837,6834.584605,Thursday,RP,131195.45,-9195.453125,-87292.28125,127259.59,-3935.8594,-114423.72
304,2019-11-01,200558.0,19009.446035,19982.4251,19009.446035,Friday,RP,207019.98,-6461.984375,-93754.265625,200809.39,-6210.5938,-120634.31
305,2019-11-02,177351.0,12859.084445,15711.00034,12859.084445,Saturday,RP,181870.23,-4519.234375,-98273.5,176414.12,-5456.1094,-126090.42
307,2019-11-04,189332.0,17092.126445,17089.02223,17092.126445,Monday,RP,200546.4,-11214.40625,-109487.90625,194530.02,-6016.3906,-132106.81
308,2019-11-05,201535.0,16731.99739,18568.9557,16731.99739,Tuesday,RP,198162.9,3372.09375,-106115.8125,192218.03,-5944.875,-138051.69
309,2019-11-06,146004.0,7130.689536,9204.167089,7130.689536,Wednesday,RP,138331.44,7672.5625,-98443.25,134181.5,-4149.9375,-142201.62
310,2019-11-07,100467.0,5391.6688755,8384.443459,5391.6688755,Thursday,RP,119560.555,-19093.5546875,-117536.8046875,115973.74,-3586.8125,-145788.44
311,2019-11-08,193408.0,17432.337935,18656.46674,17432.337935,Friday,RP,202811.28,-9403.28125,-126940.0859375,196726.95,-6084.328,-151872.77
312,2019-11-09,153177.0,9924.908983,12552.84889,9924.908983,Saturday,RP,162459.94,-9282.9375,-136223.0234375,157586.14,-4873.797,-156746.56
314,2019-11-11,187590.0,15692.5091,16884.09132,15692.5091,Monday,RP,194625.58,-7035.578125,-143258.6015625,188786.81,-5838.7656,-162585.33
315,2019-11-12,141344.0,7285.256984,8180.620286,7285.256984,Tuesday,RP,146046.84,-4702.84375,-147961.4453125,141665.44,-4381.4062,-166966.73
316,2019-11-13,198947.0,15756.791415,17404.7266,15756.791415,Wednesday,RP,195497.97,3449.03125,-144512.4140625,189633.03,-5864.9375,-172831.67
