DateOnly,Feed
2019-01-01,
2019-01-02,
2019-01-03,29643
2019-01-04,16053
2019-01-05,10415
2019-01-06,
2019-01-07,9799
2019-01-08,18423
2019-01-09,14464
2019-01-10,9554
2019-01-11,9546
2019-01-12,9897
2019-01-13,
2019-01-14,9590
2019-01-15,9302
2019-01-16,13283
2019-01-17,3335
2019-01-18,7203
2019-01-19,16509
2019-01-20,
2019-01-21,7150
2019-01-22,5695
2019-01-23,3692
2019-01-24,10122
2019-01-25,18137
2019-01-26,12159
2019-01-27,
2019-01-28,26257.67
2019-01-29,24026
2019-01-30,17712.66
2019-01-31,7858.33
2019-02-01,15451
2019-02-02,7355
2019-02-03,
2019-02-04,14175
2019-02-05,7606
2019-02-06,14990
2019-02-07,16792
2019-02-08,14723
2019-02-09,17756
2019-02-10,
2019-02-11,17089
2019-02-12,8958
2019-02-13,0
2019-02-14,0
2019-02-15,13907
2019-02-16,18593
2019-02-17,
2019-02-18,6249
2019-02-19,16810
2019-02-20,13257
2019-02-21,3492
2019-02-22,8438
2019-02-23,9532
2019-02-24,
2019-02-25,23358
2019-02-26,20084
2019-02-27,5204
2019-02-28,11828
2019-03-01,14471
2019-03-02,11731
2019-03-03,
2019-03-04,18528
2019-03-05,7689
2019-03-06,0
2019-03-07,1753
2019-03-08,16058
2019-03-09,17048
2019-03-10,
2019-03-11,11416
2019-03-12,13153
2019-03-13,12845
2019-03-14,8472
2019-03-15,19412
2019-03-16,22067
2019-03-17,
2019-03-18,11463
2019-03-19,14904
2019-03-20,5856
2019-03-21,18140
2019-03-22,11860
2019-03-23,18173
2019-03-24,
2019-03-25,18334
2019-03-26,5656
2019-03-27,15277
2019-03-28,11413
2019-03-29,40167
2019-03-30,4915
2019-03-31,
2019-04-01,19173
2019-04-02,15248
2019-04-03,19466
2019-04-04,9494
2019-04-05,19010
2019-04-06,10051
2019-04-07,
2019-04-08,16881
2019-04-09,10143
2019-04-10,19605
2019-04-11,10116
2019-04-12,16749
2019-04-13,13486
2019-04-14,
2019-04-15,16892
2019-04-16,7304
2019-04-17,19053
2019-04-18,3204
2019-04-19,0
2019-04-20,5901
2019-04-21,
2019-04-22,0
2019-04-23,3245
2019-04-24,14077
2019-04-25,19337
2019-04-26,5303
2019-04-27,9595
2019-04-28,
2019-04-29,10729
2019-04-30,15406
2019-05-01,16484
2019-05-02,6969
2019-05-03,12237
2019-05-04,5513
2019-05-05,
2019-05-06,14216
2019-05-07,10892
2019-05-08,0
2019-05-09,10581
2019-05-10,16974
2019-05-11,22816
2019-05-12,
2019-05-13,11354
2019-05-14,27488
2019-05-15,12403
2019-05-16,7838
2019-05-17,11275
2019-05-18,19216
2019-05-19,
2019-05-20,2913
2019-05-21,16229
2019-05-22,5829
2019-05-23,10456
2019-05-24,14450
2019-05-25,25035
2019-05-26,
2019-05-27,18132
2019-05-28,35043
2019-05-29,5632.241246
2019-05-30,17070.6883
2019-05-31,21287.9439
2019-06-01,9897.143185
2019-06-02,
2019-06-03,18930.00383
2019-06-04,19830.85217
2019-06-05,15675.64763
2019-06-06,9231.202405
2019-06-07,21104.00684
2019-06-08,25044.2488
2019-06-09,
2019-06-10,21081.84575
2019-06-11,14548.75616
2019-06-12,18317.24966
2019-06-13,13245.68402
2019-06-14,19967.14288
2019-06-15,19609.24126
2019-06-16,
2019-06-17,17131.6313
2019-06-18,16583.1443
2019-06-19,20758.29382
2019-06-20,12308.26987
2019-06-21,16903.37207
2019-06-22,13883.92343
2019-06-23,
2019-06-24,18005.88634
2019-06-25,17938.29501
2019-06-26,16451.28581
2019-06-27,12525.82325
2019-06-28,15214.32093
2019-06-29,6474.672881
2019-06-30,
2019-07-01,19147.85876
2019-07-02,17529.19054
2019-07-03,18515.47584
2019-07-04,10228.35868
2019-07-05,20077.28761
2019-07-06,6101.044804
2019-07-07,
2019-07-08,12586.16071
2019-07-09,17090.58367
2019-07-10,17501.34248
2019-07-11,5801.678209
2019-07-12,16884.04392
2019-07-13,20159.67144
2019-07-14,
2019-07-15,17261.15301
2019-07-16,19099.12466
2019-07-17,19009.77882
2019-07-18,5236.594751
2019-07-19,13827.71984
2019-07-20,14830.24984
2019-07-21,
2019-07-22,14449.65975
2019-07-23,15745.75466
2019-07-24,18600.18034
2019-07-25,8035.324319
2019-07-26,17237.94629
2019-07-27,15784.71989
2019-07-28,
2019-07-29,17329.48604
2019-07-30,9942.713698
2019-07-31,16444.58045
2019-08-01,11338.80756
2019-08-02,14612.65276
2019-08-03,6887.803713
2019-08-04,
2019-08-05,19365.0744
2019-08-06,18037.20686
2019-08-07,20920.02358
2019-08-08,12531.24076
2019-08-09,20965.84723
2019-08-10,17590.17169
2019-08-11,
2019-08-12,15363.14232
2019-08-13,16365.15279
2019-08-14,19977.0747
2019-08-15,10910.10186
2019-08-16,18937.387
2019-08-17,20207.21125
2019-08-18,
2019-08-19,14124.88547
2019-08-20,18141.0738
2019-08-21,18669.57322
2019-08-22,13290.89504
2019-08-23,16005.69172
2019-08-24,14341.78408
2019-08-25,
2019-08-26,17523.98198
2019-08-27,18343.71616
2019-08-28,13613.81349
2019-08-29,6552.400468
2019-08-30,20833.15675
2019-08-31,15357.86321
2019-09-01,
2019-09-02,20877.46811
2019-09-03,17208.71467
2019-09-04,21664.84691
2019-09-05,12567.38366
2019-09-06,18019.95343
2019-09-07,5270.779568
2019-09-08,
2019-09-09,20493.43632
2019-09-10,19457.23218
2019-09-11,9563.300631
2019-09-12,0
2019-09-13,16734.92396
2019-09-14,20647.95798
2019-09-15,
2019-09-16,16023.66981
2019-09-17,10001.86948
2019-09-18,21701.20495
2019-09-19,11950.43317
2019-09-20,20446.85258
2019-09-21,18497.1527
2019-09-22,
2019-09-23,0
2019-09-24,0
2019-09-25,14796.58597
2019-09-26,13416.78942
2019-09-27,20490.74889
2019-09-28,22305.07496
2019-09-29,
2019-09-30,18010.53254
2019-10-01,9619.415082
2019-10-02,16395.29867
2019-10-03,8643.075946
2019-10-04,8964.772942
2019-10-05,13555.14162
2019-10-06,
2019-10-07,13783.479
2019-10-08,11283.01598
2019-10-09,14173.78969
2019-10-10,10522.64126
2019-10-11,20154.42931
2019-10-12,10853.33678
2019-10-13,
2019-10-14,1032.57987
2019-10-15,0
2019-10-16,16199.58092
2019-10-17,10986.06491
2019-10-18,17667.46407
2019-10-19,17407.63188
2019-10-20,
2019-10-21,16265.94498
2019-10-22,12443.82472
2019-10-23,18128.63808
2019-10-24,10023.22355
2019-10-25,12203.11439
2019-10-26,11052.42897
2019-10-27,
2019-10-28,16923.96157
2019-10-29,15781.89536
2019-10-30,17755.87848
2019-10-31,7401.882837
2019-11-01,19982.4251
2019-11-02,15711.00034
2019-11-03,
2019-11-04,17089.02223
2019-11-05,18568.9557
2019-11-06,9204.167089
2019-11-07,8384.443459
2019-11-08,18656.46674
2019-11-09,12552.84889
2019-11-10,
2019-11-11,16884.09132
2019-11-12,8180.620286
2019-11-13,17404.7266
2019-11-14,7714.264004
2019-11-15,8500.755595
2019-11-16,23065.25059
2019-11-17,
2019-11-18,18828.16561
2019-11-19,17147.73216
2019-11-20,10537.87959
2019-11-21,21301.73705
2019-11-22,16836.45873
2019-11-23,22866.96609
2019-11-24,
2019-11-25,18313.069
2019-11-26,8805.38262
2019-11-27,16686.91455
2019-11-28,6920.826318
2019-11-29,19132.02012
2019-11-30,21859.4167
2019-12-01,
2019-12-02,15903.29769
2019-12-03,14017.57661
