,DateOnly,Actual-kWh,DOW1,DOW2,Flag,Production,Feed
0,2019-01-01,32339.5,2,Tuesday,0,0.0,
1,2019-01-02,111257.0,3,Wednesday,0,0.0,
2,2019-01-03,90629.0,4,Thursday,0,0.0,29643.0
3,2019-01-04,108805.0,5,Friday,0,0.0,16053.0
4,2019-01-05,70730.5,6,Saturday,0,0.0,10415.0
5,2019-01-06,22606.5,7,Sunday,0,0.0,
6,2019-01-07,74080.0,1,Monday,0,0.0,9799.0
7,2019-01-08,102633.0,2,Tuesday,0,0.0,18423.0
8,2019-01-09,96143.5,3,Wednesday,0,0.0,14464.0
9,2019-01-10,72074.5,4,Thursday,0,0.0,9554.0
10,2019-01-11,75152.0,5,Friday,0,0.0,9546.0
11,2019-01-12,64553.0,6,Saturday,0,0.0,9897.0
12,2019-01-13,28122.5,7,Sunday,0,0.0,
13,2019-01-14,78960.0,1,Monday,0,0.0,9590.0
14,2019-01-15,82540.0,2,Tuesday,0,0.0,9302.0
15,2019-01-16,91737.0,3,Wednesday,0,0.0,13283.0
16,2019-01-17,50215.5,4,Thursday,0,0.0,3335.0
17,2019-01-18,58302.0,5,Friday,0,0.0,7203.0
18,2019-01-19,90494.5,6,Saturday,0,0.0,16509.0
19,2019-01-20,23345.0,7,Sunday,0,0.0,
20,2019-01-21,69371.5,1,Monday,0,0.0,7150.0
21,2019-01-22,64087.5,2,Tuesday,0,0.0,5695.0
22,2019-01-23,50171.5,3,Wednesday,0,0.0,3692.0
23,2019-01-24,73029.5,4,Thursday,0,0.0,10122.0
24,2019-01-25,103650.5,5,Friday,0,0.0,18137.0
25,2019-01-26,75241.5,6,Saturday,0,0.0,12159.0
26,2019-01-27,24688.0,7,Sunday,0,0.0,
27,2019-01-28,98126.5,1,Monday,0,0.0,26257.67
28,2019-01-29,94571.5,2,Tuesday,0,0.0,24026.0
29,2019-01-30,98239.5,3,Wednesday,0,0.0,17712.66
30,2019-01-31,65498.0,4,Thursday,0,0.0,7858.33
31,2019-02-01,93758.5,5,Friday,0,0.0,15451.0
32,2019-02-02,55864.0,6,Saturday,0,0.0,7355.0
33,2019-02-03,20270.0,7,Sunday,0,0.0,
34,2019-02-04,86762.5,1,Monday,0,0.0,14175.0
35,2019-02-05,69377.5,2,Tuesday,0,0.0,7606.0
36,2019-02-06,96007.5,3,Wednesday,0,0.0,14990.0
37,2019-02-07,98274.5,4,Thursday,0,0.0,16792.0
38,2019-02-08,89137.0,5,Friday,0,0.0,14723.0
39,2019-02-09,99167.0,6,Saturday,0,0.0,17756.0
40,2019-02-10,28059.0,7,Sunday,0,0.0,
41,2019-02-11,102624.5,1,Monday,0,0.0,17089.0
42,2019-02-12,65756.0,2,Tuesday,0,0.0,8958.0
43,2019-02-13,20169.5,3,Wednesday,0,0.0,0.0
