,DateOnly,Actual-kWh,DOW1,DOW2,Flag
0,2019-01-01,32339.5,2,Tuesday,0
1,2019-01-02,111257,3,Wednesday,0
2,2019-01-03,90629,4,Thursday,0
3,2019-01-04,108805,5,Friday,0
4,2019-01-05,70730.5,6,Saturday,0
5,2019-01-06,22606.5,7,Sunday,0
6,2019-01-07,74080,1,Monday,0
7,2019-01-08,102633,2,Tuesday,0
8,2019-01-09,96143.5,3,Wednesday,0
9,2019-01-10,72074.5,4,Thursday,0
10,2019-01-11,75152,5,Friday,0
11,2019-01-12,64553,6,Saturday,0
12,2019-01-13,28122.5,7,Sunday,0
13,2019-01-14,78960,1,Monday,0
14,2019-01-15,82540,2,Tuesday,0
15,2019-01-16,91737,3,Wednesday,0
16,2019-01-17,50215.5,4,Thursday,0
17,2019-01-18,58302,5,Friday,0
18,2019-01-19,90494.5,6,Saturday,0
19,2019-01-20,23345,7,Sunday,0
20,2019-01-21,69371.5,1,Monday,0
21,2019-01-22,64087.5,2,Tuesday,0
22,2019-01-23,50171.5,3,Wednesday,0
23,2019-01-24,73029.5,4,Thursday,0
24,2019-01-25,103650.5,5,Friday,0
25,2019-01-26,75241.5,6,Saturday,0
26,2019-01-27,24688,7,Sunday,0
27,2019-01-28,98126.5,1,Monday,0
28,2019-01-29,94571.5,2,Tuesday,0
29,2019-01-30,98239.5,3,Wednesday,0
30,2019-01-31,65498,4,Thursday,0
31,2019-02-01,93758.5,5,Friday,0
32,2019-02-02,55864,6,Saturday,0
33,2019-02-03,20270,7,Sunday,0
34,2019-02-04,86762.5,1,Monday,0
35,2019-02-05,69377.5,2,Tuesday,0
36,2019-02-06,96007.5,3,Wednesday,0
37,2019-02-07,98274.5,4,Thursday,0
38,2019-02-08,89137,5,Friday,0
39,2019-02-09,99167,6,Saturday,0
40,2019-02-10,28059,7,Sunday,0
41,2019-02-11,102624.5,1,Monday,0
42,2019-02-12,65756,2,Tuesday,0
43,2019-02-13,20169.5,3,Wednesday,0
44,2019-02-14,37288.5,4,Thursday,0
45,2019-02-15,86693,5,Friday,0
46,2019-02-16,99366.5,6,Saturday,0
47,2019-02-17,20643.5,7,Sunday,0
48,2019-02-18,54645,1,Monday,0
49,2019-02-19,101303,2,Tuesday,0
50,2019-02-20,85080.5,3,Wednesday,0
51,2019-02-21,43394.5,4,Thursday,0
52,2019-02-22,62703.5,5,Friday,0
53,2019-02-23,61573,6,Saturday,0
54,2019-02-24,18420.5,7,Sunday,0
55,2019-02-25,101514.5,1,Monday,0
56,2019-02-26,61399.5,2,Tuesday,0
57,2019-02-27,55781.5,3,Wednesday,0
58,2019-02-28,81053.5,4,Thursday,0
59,2019-03-01,90100.5,5,Friday,0
60,2019-03-02,77538.5,6,Saturday,0
61,2019-03-03,21466,7,Sunday,0
62,2019-03-04,102285.5,1,Monday,0
63,2019-03-05,57275.5,2,Tuesday,0
64,2019-03-06,28189.5,3,Wednesday,0
65,2019-03-07,42333.5,4,Thursday,0
66,2019-03-08,94201.5,5,Friday,0
67,2019-03-09,96047.5,6,Saturday,0
68,2019-03-10,21567.5,7,Sunday,0
69,2019-03-11,89105.5,1,Monday,0
70,2019-03-12,88858,2,Tuesday,0
71,2019-03-13,88813.5,3,Wednesday,0
72,2019-03-14,71071,4,Thursday,0
73,2019-03-15,101327.5,5,Friday,0
74,2019-03-16,89775,6,Saturday,0
75,2019-03-17,40892,7,Sunday,0
76,2019-03-18,84602,1,Monday,0
77,2019-03-19,86572,2,Tuesday,0
78,2019-03-20,54715,3,Wednesday,0
79,2019-03-21,100155,4,Thursday,0
80,2019-03-22,77898,5,Friday,0
81,2019-03-23,92076,6,Saturday,0
82,2019-03-24,21653,7,Sunday,0
83,2019-03-25,103075.5,1,Monday,0
84,2019-03-26,57915.5,2,Tuesday,0
85,2019-03-27,94895,3,Wednesday,0
86,2019-03-28,80716,4,Thursday,0
87,2019-03-29,95572,5,Friday,0
88,2019-03-30,41036,6,Saturday,0
89,2019-03-31,20467.5,7,Sunday,0
90,2019-04-01,102610,1,Monday,0
91,2019-04-02,96462.5,2,Tuesday,0
92,2019-04-03,101440,3,Wednesday,0
93,2019-04-04,70055,4,Thursday,0
94,2019-04-05,99161.5,5,Friday,0
95,2019-04-06,70242,6,Saturday,0
96,2019-04-07,22724.5,7,Sunday,0
97,2019-04-08,101851,1,Monday,0
98,2019-04-09,77455.5,2,Tuesday,0
99,2019-04-10,105522,3,Wednesday,0
100,2019-04-11,71421.5,4,Thursday,0
101,2019-04-12,98054.5,5,Friday,0
102,2019-04-13,82995,6,Saturday,0
103,2019-04-14,20504,7,Sunday,0
104,2019-04-15,100483.5,1,Monday,0
105,2019-04-16,59043.5,2,Tuesday,0
106,2019-04-17,100013,3,Wednesday,0
107,2019-04-18,41307,4,Thursday,0
108,2019-04-19,17605,5,Friday,0
109,2019-04-20,19525,6,Saturday,0
110,2019-04-21,18440.5,7,Sunday,0
111,2019-04-22,101851,1,Monday,0
112,2019-04-23,61692.5,2,Tuesday,0
113,2019-04-24,96964.5,3,Wednesday,0
114,2019-04-25,99570,4,Thursday,0
115,2019-04-26,62681,5,Friday,0
116,2019-04-27,73623.5,6,Saturday,0
117,2019-04-28,21498.5,7,Sunday,0
118,2019-04-29,85561.5,1,Monday,0
119,2019-04-30,95403.5,2,Tuesday,0
120,2019-05-01,93830.5,3,Wednesday,0
121,2019-05-02,63617.5,4,Thursday,0
122,2019-05-03,84005.5,5,Friday,0
123,2019-05-04,51657.5,6,Saturday,0
124,2019-05-05,20457.5,7,Sunday,0
125,2019-05-06,93846,1,Monday,0
126,2019-05-07,75390.5,2,Tuesday,0
127,2019-05-08,18722.5,3,Wednesday,0
128,2019-05-09,76943,4,Thursday,0
129,2019-05-10,99753,5,Friday,0
130,2019-05-11,101136.5,6,Saturday,0
131,2019-05-12,41659,7,Sunday,0
132,2019-05-13,87872.5,1,Monday,0
133,2019-05-14,96811.5,2,Tuesday,0
134,2019-05-15,92011,3,Wednesday,0
135,2019-05-16,63742,4,Thursday,10
136,2019-05-17,85516,5,Friday,0
137,2019-05-18,100906.5,6,Saturday,0
138,2019-05-19,45206.5,7,Sunday,0
139,2019-05-20,61717,1,Monday,0
140,2019-05-21,102499,2,Tuesday,0
141,2019-05-22,66140.5,3,Wednesday,0
142,2019-05-23,77335.5,4,Thursday,0
143,2019-05-24,100529.5,5,Friday,0
144,2019-05-25,105292,6,Saturday,0
145,2019-05-26,47626.5,7,Sunday,0
146,2019-05-27,108907,1,Monday,0
147,2019-05-28,93457.5,2,Tuesday,0
148,2019-05-29,59513,3,Wednesday,0
149,2019-05-30,99069,4,Thursday,0
150,2019-05-31,108655.5,5,Friday,0
151,2019-06-01,74637.5,6,Saturday,0
152,2019-06-02,24521.5,7,Sunday,0
153,2019-06-03,105226,1,Monday,0
154,2019-06-04,112633,2,Tuesday,0
155,2019-06-05,99104.5,3,Wednesday,0
156,2019-06-06,73470.5,4,Thursday,0
157,2019-06-07,110353,5,Friday,0
158,2019-06-08,102263.5,6,Saturday,0
159,2019-06-09,46441,7,Sunday,0
160,2019-06-10,112327.5,1,Monday,0
161,2019-06-11,93241,2,Tuesday,0
162,2019-06-12,112034,3,Wednesday,0
163,2019-06-13,82154,4,Thursday,0
164,2019-06-14,107988,5,Friday,0
165,2019-06-15,103869,6,Saturday,0
166,2019-06-16,27900.5,7,Sunday,0
167,2019-06-17,104091.5,1,Monday,0
168,2019-06-18,103117.5,2,Tuesday,0
169,2019-06-19,112256,3,Wednesday,0
170,2019-06-20,84107.5,4,Thursday,0
171,2019-06-21,101894,5,Friday,0
172,2019-06-22,95033,6,Saturday,0
173,2019-06-23,27571.5,7,Sunday,0
174,2019-06-24,104489,1,Monday,0
175,2019-06-25,106901,2,Tuesday,0
176,2019-06-26,103574,3,Wednesday,0
177,2019-06-27,84216,4,Thursday,0
178,2019-06-28,94839.5,5,Friday,0
179,2019-06-29,56213,6,Saturday,0
180,2019-06-30,25920.5,7,Sunday,0
181,2019-07-01,103077.5,1,Monday,0
182,2019-07-02,100672.5,2,Tuesday,0
183,2019-07-03,103213,3,Wednesday,0
184,2019-07-04,76335.5,4,Thursday,0
